email,label
"Olá",0
"Ola",0
"Desejo suporte",1
"Bom dia",0
"Solicito ajuda",1
"Boa tarde",0
"Suporte",1
"ola boa tarde, desejo suporte",1
"Desejo atendimento ou falar com atendente",1
"Boa noite",0
"Olá, preciso de ajuda com meu acesso ao sistema.",1
"Parabéns pelo excelente trabalho da equipe!",0
"Atualize meu cadastro com os novos documentos, por favor.",1
"Obrigado pelo suporte prestado ontem, muito eficiente.",0
"Meu relatório mensal não está aparecendo, pode verificar?",1
"Feliz aniversário para todos os colegas de trabalho!",0
"Há uma falha no sistema que precisa ser corrigida urgentemente.",1
"Agradeço pela atenção e colaboração de sempre.",0
"Poderia confirmar o recebimento do meu último e-mail?",1
"Ótima reunião hoje, obrigado a todos os participantes.",0
"Preciso renovar minha senha, não estou conseguindo acessar.",1
"Que ótimo ver nosso projeto crescendo a cada dia!",0
"Favor encaminhar a planilha atualizada até amanhã.",1
"Agradeço os votos de sucesso na nova etapa.",0
"Envio os documentos solicitados para análise.",1
"Parabéns pelo lançamento do novo produto, sucesso!",0
"Solicito ajuda com o erro apresentado no sistema financeiro.",1
"Excelente atendimento da equipe de suporte, muito obrigado!",0
"Meu pedido está atrasado, quando será entregue?",1
"Que bom saber das conquistas recentes da empresa!",0
"Pode me informar sobre o status do processo?",1
"Obrigado pela parceria e confiança de sempre.",0
"Há uma atualização importante que preciso receber.",1
"Desejo um feliz Natal a todos os colegas!",0
"Preciso de suporte para a configuração do software.",1
"Parabéns pelo prêmio recebido na última conferência.",0
"Solicito orientação sobre o procedimento correto.",1
"Agradeço o convite para o evento de confraternização.",0
"Favor verificar a inconsistência no relatório financeiro.",1
"Que bom ver o espírito de equipe entre todos!",0
